searchTerm,title,description,canonical,promotionalText,delete
microondas-pequeno,Microondas Pequeno,"Compre microondas pequeno em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/microondas-pequeno,<h2>Microondas pequeno</h2>Encontre em Sodimac Brasil as melhores ofertas em microondas pequeno. Compre Online as melhores marcas de microondas pequeno que você está procurando.<br><br>Bosch<br>Philco<br>Elg<br>Atco<br>Brastemp<br>Coliseu<br>Comp<br>Duralex<br>Just Home Collection<br>Porto Brasil<br><br>Temos microondas pequeno nas principais cidades do Brasil.,false
cadeira-presidente,Cadeira presidente,"Compre cadeira presidente em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/cadeira-presidente,<h2>Cadeira presidente</h2>Encontre em Sodimac Brasil as melhores ofertas em cadeira presidente. Compre Online as melhores marcas de cadeira presidente que você está procurando.<br><br>Just Home Collection<br><br>Temos cadeira presidente nas principais cidades do Brasil.,false
chuveiro-dourado,Chuveiro Dourado,"Compre chuveiro dourado em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/chuveiro-dourado,<h2>Chuveiro dourado</h2>Encontre em Sodimac Brasil as melhores ofertas em chuveiro dourado. Compre Online as melhores marcas de chuveiro dourado que você está procurando.<br><br>Foxmix<br>Lorenzetti<br>Ouro Fino<br>Esel<br>Just Home Collection<br>Sensi Dacqua<br>Zagonel<br>Deca<br>Bognar Metais<br>Celite<br><br>Temos chuveiro dourado nas principais cidades do Brasil.,false
espuma-poliuretano,Espuma Poliuretano,"Compre espuma poliuretano em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/espuma-poliuretano,<h2>Espuma poliuretano</h2>Encontre em Sodimac Brasil as melhores ofertas em espuma poliuretano. Compre Online as melhores marcas de espuma poliuretano que você está procurando.<br><br>Kadesh<br>Tekbond<br>Primafer<br>3M<br>Noviça<br>Pulvitec<br>Soudal<br>Topex<br>Artecola<br>Super Bonder<br><br>Temos espuma poliuretano nas principais cidades do Brasil.,false
isopor-termico,Isopor Térmico,"Compre isopor termico em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/isopor-termico,<h2>Isopor termico</h2>Encontre em Sodimac Brasil as melhores ofertas em isopor termico. Compre Online as melhores marcas de isopor termico que você está procurando.<br><br>Gemell<br>Santa Luzia<br>Suvinil<br>Coral<br>Sayerlack<br>Simon<br>Gart<br>Just Home Collection<br>Holztek<br>Tekbond<br><br>Temos isopor termico nas principais cidades do Brasil.,false
engate-flexivel,Engate flexivel,"Compre engate flexivel em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/engate-flexivel,<h2>Engate flexivel</h2>Encontre em Sodimac Brasil as melhores ofertas em engate flexivel. Compre Online as melhores marcas de engate flexivel que você está procurando.<br><br>Censi<br>Tramontina<br>Amanco<br>Deca<br>Humbold<br>Esteves<br>Blukit<br>Gamet<br>Haenke<br>Humboldt<br><br>Temos engate flexivel nas principais cidades do Brasil.,false
ralo-sanfonado,Ralo Sanfonado,"Compre ralo sanfonado em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/ralo-sanfonado,<h2>Ralo sanfonado</h2>Encontre em Sodimac Brasil as melhores ofertas em ralo sanfonado. Compre Online as melhores marcas de ralo sanfonado que você está procurando.<br><br>Esquadrisul<br>Costa Navarro<br>Gemell<br>Amanco<br>Tigre<br>Mapaf<br>Astra<br>Bognar Metais<br>Holztek<br>Ouro Fino<br><br>Temos ralo sanfonado nas principais cidades do Brasil.,false
rodateto-poliestireno,Rodapé Teto Poliestireno,"Compre rodateto poliestireno em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/rodateto-poliestireno,<h2>Rodateto poliestireno</h2>Encontre em Sodimac Brasil as melhores ofertas em rodateto poliestireno. Compre Online as melhores marcas de rodateto poliestireno que você está procurando.<br><br>Suvinil<br>Coral<br>Sayerlack<br>Tekbond<br>Pulvitec<br>Gart<br>Super Bonder<br>Tramontina<br>Vedacit<br>Artecola<br><br>Temos rodateto poliestireno nas principais cidades do Brasil.,false
carrinho-dobravel,Carrinho Dobrável,"Compre carrinho dobravel em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/carrinho-dobravel,<h2>Carrinho dobravel</h2>Encontre em Sodimac Brasil as melhores ofertas em carrinho dobravel. Compre Online as melhores marcas de carrinho dobravel que você está procurando.<br><br>Bauker<br>Klimber<br>Stanley<br>Worker<br><br>Temos carrinho dobravel nas principais cidades do Brasil.,false
porta-pivotante,"Porta Pivotante: Madeira, Alumínio e Mais","Encontre porta pivotante de madeira, alumínio e mais com design moderno e sofisticado. Confira variedades pelo melhor preço e qualidade na Sodimac!",https://www.sodimac.com.br/sodimac-br/k/porta-pivotante,<h2>Brimak</h2><br>Esquadrisul<br>Mapaf<br>Esel<br>Abrilar<br>Lg Sidney<br>Vert,false
